previous_open_time,current_open_time,delta_minutes,missing_minutes,previous_segment_id,current_segment_id
2017-12-04T06:00:00+00:00,2017-12-04T06:49:00+00:00,49.0,48,0,1
2017-12-18T10:00:00+00:00,2017-12-18T10:14:00+00:00,14.0,13,1,2
2017-12-18T12:29:00+00:00,2017-12-18T13:34:00+00:00,65.0,64,2,3
2018-01-04T03:00:00+00:00,2018-01-04T05:06:00+00:00,126.0,125,3,4
2018-02-08T00:28:00+00:00,2018-02-09T10:00:00+00:00,2012.0,2011,4,5
2018-02-10T05:59:00+00:00,2018-02-10T06:15:00+00:00,16.0,15,5,6
2018-02-11T04:00:00+00:00,2018-02-11T04:35:00+00:00,35.0,34,6,7
2018-06-26T01:59:00+00:00,2018-06-26T12:00:00+00:00,601.0,600,7,8
2018-06-27T12:59:00+00:00,2018-06-27T14:45:00+00:00,106.0,105,8,9
2018-07-04T00:22:00+00:00,2018-07-04T08:00:00+00:00,458.0,457,9,10
2018-10-19T05:59:00+00:00,2018-10-19T09:30:00+00:00,211.0,210,10,11
2018-11-14T01:59:00+00:00,2018-11-14T09:00:00+00:00,421.0,420,11,12
2019-03-12T01:59:00+00:00,2019-03-12T08:00:00+00:00,361.0,360,12,13
2019-05-15T02:59:00+00:00,2019-05-15T13:00:00+00:00,601.0,600,13,14
2019-06-07T21:13:00+00:00,2019-06-07T22:15:00+00:00,62.0,61,14,15
2019-08-15T01:59:00+00:00,2019-08-15T10:00:00+00:00,481.0,480,15,16
2019-11-13T01:59:00+00:00,2019-11-13T04:20:00+00:00,141.0,140,16,17
2019-11-13T05:29:00+00:00,2019-11-13T05:33:00+00:00,4.0,3,17,18
2019-11-25T01:59:00+00:00,2019-11-25T04:00:00+00:00,121.0,120,18,19
2020-02-09T01:59:00+00:00,2020-02-09T03:00:00+00:00,61.0,60,19,20
2020-02-19T11:35:00+00:00,2020-02-19T17:30:00+00:00,355.0,354,20,21
2020-03-04T09:21:00+00:00,2020-03-04T11:30:00+00:00,129.0,128,21,22
2020-04-25T01:59:00+00:00,2020-04-25T04:30:00+00:00,151.0,150,22,23
2020-06-28T01:59:00+00:00,2020-06-28T05:30:00+00:00,211.0,210,23,24
2020-11-30T05:59:00+00:00,2020-11-30T07:00:00+00:00,61.0,60,24,25
2020-12-21T13:47:00+00:00,2020-12-21T18:00:00+00:00,253.0,252,25,26
2020-12-25T01:59:00+00:00,2020-12-25T03:00:00+00:00,61.0,60,26,27
2021-02-11T03:40:00+00:00,2021-02-11T05:00:00+00:00,80.0,79,27,28
2021-03-06T01:59:00+00:00,2021-03-06T03:30:00+00:00,91.0,90,28,29
2021-04-20T01:59:00+00:00,2021-04-20T04:30:00+00:00,151.0,150,29,30
2021-04-25T04:00:00+00:00,2021-04-25T08:45:00+00:00,285.0,284,30,31
2021-08-13T01:59:00+00:00,2021-08-13T06:30:00+00:00,271.0,270,31,32
2021-09-29T06:59:00+00:00,2021-09-29T09:00:00+00:00,121.0,120,32,33
2023-03-24T12:39:00+00:00,2023-03-24T14:00:00+00:00,81.0,80,33,34
