continuity_segment_id,segment_start_open_time,segment_end_open_time,segment_length,duration_minutes,repaired_close_time_count,prediction_time_count,model_candidate_count
0,1506816000000,1512367200000,92521,92521,1,18504,18445
1,1512370140000,1513591200000,20352,20352,1,4071,4011
2,1513592040000,1513600140000,136,136,1,28,0
3,1513604040000,1515034800000,23847,23847,1,4770,4710
4,1515042360000,1518049680000,50123,50123,1,10024,9964
5,1518170400000,1518242340000,1200,1200,0,240,180
6,1518243300000,1518321600000,1306,1306,1,261,202
7,1518323700000,1529978340000,194245,194245,0,38849,38789
8,1530014400000,1530104340000,1500,1500,0,300,240
9,1530110700000,1530663720000,9218,9218,1,1843,1784
10,1530691200000,1539928740000,153960,153960,0,30792,30732
11,1539941400000,1542160740000,36990,36990,0,7398,7338
12,1542186000000,1552355940000,169500,169500,0,33900,33840
13,1552377600000,1557889140000,91860,91860,0,18372,18312
14,1557925200000,1559941980000,33614,33614,1,6722,6663
15,1559945700000,1565834340000,98145,98145,0,19629,19569
16,1565863200000,1573610340000,129120,129120,0,25824,25764
17,1573618800000,1573622940000,70,70,0,14,0
18,1573623180000,1574647140000,17067,17067,0,3414,3353
19,1574654400000,1581213540000,109320,109320,0,21864,21804
20,1581217200000,1582112100000,14916,14916,1,2983,2924
21,1582133400000,1583313660000,19672,19672,1,3934,3875
22,1583321400000,1587779940000,74310,74310,0,14862,14802
23,1587789000000,1593309540000,92010,92010,0,18402,18342
24,1593322200000,1606715940000,223230,223230,0,44646,44586
25,1606719600000,1608558420000,30648,30648,1,6129,6070
26,1608573600000,1608861540000,4800,4800,0,960,900
27,1608865200000,1613014800000,69161,69161,1,13832,13773
28,1613019600000,1614995940000,32940,32940,0,6588,6528
29,1615001400000,1618883940000,64710,64710,0,12942,12882
30,1618893000000,1619323200000,7171,7171,1,1434,1375
31,1619340300000,1628819940000,157995,157995,1,31599,31539
32,1628836200000,1632898740000,67710,67710,0,13542,13482
33,1632906000000,1679661540000,779260,779260,2,155852,155792
34,1679666400000,1783555200000,1731481,1731481,0,346296,346237
