sample_count,agreement_count,flip_count,agreement_rate,agreement_rate_ci95_low,agreement_rate_ci95_high,flip_rate,flip_rate_ci95_low,flip_rate_ci95_high,cohen_kappa,mcc,kline_up_rate,reference_up_rate,up_to_down_count,down_to_up_count,decision_hour_utc,primary_reliable_count,entry_id_gap_count,settlement_id_gap_count
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.8421052631578947,0.8528028654224418,0.08333333333333333,0.1111111111111111,0,1,0,27,24,26
36,36,0,1.0,0.9035813714055363,1.0,0.0,0.0,0.09641862859446367,1.0,1.0,0.16666666666666666,0.16666666666666666,0,0,1,28,26,26
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9433962264150944,0.944911182523068,0.4166666666666667,0.4444444444444444,0,1,2,28,26,29
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9440993788819876,0.945577943407535,0.5555555555555556,0.5277777777777778,1,0,3,29,29,16
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9407894736842105,0.9424429732158732,0.6388888888888888,0.6111111111111112,1,0,4,32,16,24
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.8421052631578947,0.8528028654224418,0.08333333333333333,0.1111111111111111,0,1,5,29,24,24
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9387755102040816,0.9405399431259603,0.3333333333333333,0.3611111111111111,0,1,6,27,24,26
36,36,0,1.0,0.9035813714055363,1.0,0.0,0.0,0.09641862859446367,1.0,1.0,0.3611111111111111,0.3611111111111111,0,0,7,30,26,31
36,36,0,1.0,0.9035813714055363,1.0,0.0,0.0,0.09641862859446367,1.0,1.0,0.5555555555555556,0.5555555555555556,0,0,8,32,31,32
36,36,0,1.0,0.9035813714055363,1.0,0.0,0.0,0.09641862859446367,1.0,1.0,0.5555555555555556,0.5555555555555556,0,0,9,30,32,26
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9158878504672897,0.9191450300180578,0.2222222222222222,0.19444444444444445,1,0,10,27,26,28
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9062499999999999,0.9102589898327995,0.8055555555555556,0.8333333333333334,0,1,11,25,28,34
36,34,2,0.9444444444444444,0.8185534279135275,0.9846300133358382,0.05555555555555555,0.015369986664161853,0.18144657208647252,0.8620689655172413,0.8703882797784892,0.75,0.6944444444444444,2,0,12,22,34,34
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.923076923076923,0.9258200997725515,0.25,0.2222222222222222,1,0,13,22,34,33
36,36,0,1.0,0.9035813714055363,1.0,0.0,0.0,0.09641862859446367,1.0,1.0,0.4166666666666667,0.4166666666666667,0,0,14,30,33,29
36,35,1,0.9722222222222222,0.8583028134672614,0.9950795928601897,0.027777777777777776,0.0049204071398104565,0.14169718653273855,0.9433962264150944,0.944911182523068,0.5555555555555556,0.5833333333333334,0,1,15,28,29,24
36,36,0,1.0,0.9035813714055363,1.0,0.0,0.0,0.09641862859446367,1.0,1.0,0.3333333333333333,0.3333333333333333,0,0,16,23,24,29
34,33,1,0.9705882352941176,0.8508442670731406,0.9947890937237309,0.029411764705882353,0.0052109062762689395,0.1491557329268593,0.9411764705882353,0.9428090415820634,0.5,0.47058823529411764,1,0,17,23,27,27
24,24,0,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,1.0,0.25,0.25,0,0,18,17,20,23
24,23,1,0.9583333333333334,0.7975819352134406,0.9926065438344942,0.041666666666666664,0.0073934561655057685,0.20241806478655938,0.9166666666666667,0.9198662110077999,0.4583333333333333,0.5,0,1,19,15,23,15
24,24,0,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017,,,1.0,1.0,0,0,20,18,15,12
24,24,0,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,1.0,0.7916666666666666,0.7916666666666666,0,0,21,18,12,15
24,24,0,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,1.0,0.5,0.5,0,0,22,18,15,14
24,24,0,1.0,0.8620237953250198,1.0,0.0,1.3877787807814457e-17,0.13797620467498017,1.0,1.0,0.7916666666666666,0.7916666666666666,0,0,23,17,14,17
