decision_time,entry_minute_open_time,settlement_minute_open_time,entry_price_kline_open,entry_price_vwap_5s,settlement_price_kline_open,settlement_price_vwap_5s,return_kline_open,return_vwap_5s,label_kline_open,label_vwap_5s,entry_price_difference_bps_kline_vs_5s,settlement_price_difference_bps_kline_vs_5s,return_difference_bps_kline_vs_5s,is_primary_reliable_sample,entry_is_reliable_overlap_minute,settlement_is_reliable_overlap_minute,entry_has_any_id_gap,settlement_has_any_id_gap,absolute_return_kline_open_bps_bucket,absolute_return_vwap_5s_bps_bucket,decision_time_utc,entry_minute_open_time_utc,settlement_minute_open_time_utc
1662088800000,1662088800000,1662092400000,20230.77,20230.72945808488,20233.93,20229.982832383914,0.00015619771269204108,-3.6905525453878596e-05,1,0,0.020039769303981103,1.951147289047661,1.9310323814591968,True,True,True,True,True,"[1, 2.5)","[0, 1)",2022-09-02T03:20:00+00:00,2022-09-02T03:20:00+00:00,2022-09-02T04:20:00+00:00
1662092100000,1662092100000,1662095700000,20157.7,20156.60164827728,20158.34,20154.983116611405,3.1749653978341286e-05,-8.02978445532121e-05,1,0,0.5449091775910908,1.665535202473034,1.1204749853155338,True,True,True,False,True,"[0, 1)","[0, 1)",2022-09-02T04:15:00+00:00,2022-09-02T04:15:00+00:00,2022-09-02T05:15:00+00:00
1662096900000,1662096900000,1662100500000,20102.53,20100.6935306751,20102.18,20103.3532468792,-1.741074382177743e-05,0.00013231962370063854,0,1,0.9136348067273481,-0.5836075528253826,-1.4973036752241597,True,True,True,True,True,"[0, 1)","[1, 2.5)",2022-09-02T05:35:00+00:00,2022-09-02T05:35:00+00:00,2022-09-02T06:35:00+00:00
1662098700000,1662098700000,1662102300000,20080.69,20074.713090014156,20075.6,20079.892771937502,-0.00025347734564895585,0.0002580202217645766,0,1,2.9773327065951705,-2.137846046420533,-5.114975674135325,False,False,True,True,True,"[2.5, 5)","[2.5, 5)",2022-09-02T06:05:00+00:00,2022-09-02T06:05:00+00:00,2022-09-02T07:05:00+00:00
1662122400000,1662122400000,1662126000000,20326.79,20341.16463368598,20331.28,20332.822673709834,0.00022089075550035808,-0.0004101023774387702,1,0,-7.066770238993714,-0.7587110430218313,6.309931329391283,True,True,True,True,True,"[1, 2.5)","[2.5, 5)",2022-09-02T12:40:00+00:00,2022-09-02T12:40:00+00:00,2022-09-02T13:40:00+00:00
1662124500000,1662124500000,1662128100000,20311.94,20322.116861020237,20312.28,20312.879919055165,1.673892301767843e-05,-0.0004545265647393215,1,0,-5.007776054943847,-0.2953392416815692,4.7126548775699995,True,True,True,True,True,"[0, 1)","[2.5, 5)",2022-09-02T13:15:00+00:00,2022-09-02T13:15:00+00:00,2022-09-02T14:15:00+00:00
1662165000000,1662165000000,1662168600000,19967.14,19963.92632703703,19964.67,19964.72664011179,-0.00012370324443067293,4.008795973553525e-05,0,1,1.6097399430980985,-0.02837009131728685,-1.6379120416620818,True,True,True,True,False,"[1, 2.5)","[0, 1)",2022-09-03T00:30:00+00:00,2022-09-03T00:30:00+00:00,2022-09-03T01:30:00+00:00
1662171600000,1662171600000,1662175200000,19918.69,19915.511263446388,19917.79,19920.422996152873,-4.5183694309058886e-05,0.00024662850185031004,0,1,1.5961109466688939,-1.3217571501267233,-2.9181219615936893,True,True,True,True,True,"[0, 1)","[1, 2.5)",2022-09-03T02:20:00+00:00,2022-09-03T02:20:00+00:00,2022-09-03T03:20:00+00:00
1662200100000,1662200100000,1662203700000,19839.58,19841.13377431302,19849.42,19831.36146571706,0.0004959782414746261,-0.0004925277308807097,1,0,-0.783107624137136,9.106048676565948,9.885059723553358,False,True,False,False,True,"[2.5, 5)","[2.5, 5)",2022-09-03T10:15:00+00:00,2022-09-03T10:15:00+00:00,2022-09-03T11:15:00+00:00
1662204600000,1662204600000,1662208200000,19833.8,19832.730635087493,19830.77,19833.275409551465,-0.00015276951466680622,2.746845474765891e-05,0,1,0.5391919711827953,-1.2632353959329823,-1.8023796941446513,False,False,True,True,True,"[1, 2.5)","[0, 1)",2022-09-03T11:30:00+00:00,2022-09-03T11:30:00+00:00,2022-09-03T12:30:00+00:00
1662208200000,1662208200000,1662211800000,19830.77,19833.275409551465,19831.46,19831.411482634663,3.4794412924865625e-05,-9.397978288061548e-05,1,0,-1.2632353959329823,0.024464907795174184,1.287741958054811,True,True,True,True,True,"[0, 1)","[0, 1)",2022-09-03T12:30:00+00:00,2022-09-03T12:30:00+00:00,2022-09-03T13:30:00+00:00
1662226800000,1662226800000,1662230400000,19799.16,19798.223922932215,19799.32,19797.952712362916,8.081150917549351e-06,-1.3698732288069948e-05,1,0,0.4728086071903448,0.6906207207113546,0.217798832056193,True,True,True,True,True,"[0, 1)","[0, 1)",2022-09-03T17:40:00+00:00,2022-09-03T17:40:00+00:00,2022-09-03T18:40:00+00:00
1662232200000,1662232200000,1662235800000,19727.18,19726.488270218164,19724.77,19727.296290833627,-0.00012216647285623328,4.096119919538843e-05,0,1,0.35066037723519017,-1.2806067270354493,-1.631276720516217,False,False,True,True,True,"[1, 2.5)","[0, 1)",2022-09-03T19:10:00+00:00,2022-09-03T19:10:00+00:00,2022-09-03T20:10:00+00:00
1662304500000,1662304500000,1662308100000,19740.45,19739.45616751296,19740.1,19742.538839379627,-1.773009227257205e-05,0.00015616802410911568,0,1,0.5034751102606094,-1.2353220624106154,-1.7389811638168773,False,True,False,True,True,"[0, 1)","[1, 2.5)",2022-09-04T15:15:00+00:00,2022-09-04T15:15:00+00:00,2022-09-04T16:15:00+00:00
