continuity_segment_id,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
0,18492,10078,8414,0.5449924291585551,0.0006934759589961941,0.0007520844432905571,0.01130097853585418,0.06310837118754056,0.11929483019684188
1,4059,2232,1827,0.549889135254989,0.0016173694183477404,0.0015172811664132535,0.018621768868308426,0.029317565902931757,0.06577974870657798
2,15,15,0,1.0,0.014544920334535671,0.014518805162572868,0.0035745235912023887,0.0,0.0
3,4758,2475,2283,0.5201765447667087,-0.00020870645901363953,0.0008213457562310511,0.023964910052546775,0.026271542664985287,0.05296343001261034
4,10012,4927,5085,0.49210946863763483,-0.0005780390376564217,-0.00020576344483974607,0.020846820780350595,0.02796644027167399,0.055533359968038355
5,227,139,88,0.6123348017621145,0.0036647773760146367,0.003861857774753341,0.0124453598906999,0.01762114537444934,0.04405286343612335
6,249,88,161,0.3534136546184739,-0.004937893691893744,-0.005955926146515744,0.016627333416952595,0.020080321285140562,0.04417670682730924
7,38836,19886,18950,0.512050674631785,-3.183445980188708e-05,0.00015636714753120007,0.009501447343627584,0.07678442682047584,0.15184365022144403
8,287,135,152,0.47038327526132406,-0.0008473753891755341,-0.00014836795252215484,0.004387000624840402,0.0975609756097561,0.23344947735191637
9,1831,891,940,0.4866193336974331,0.00045942503419651033,-0.00010316672725663167,0.006946123613562358,0.1245221190606226,0.2545057345712725
10,30779,15724,15055,0.5108677994736671,2.456382230356938e-05,8.435948388063608e-05,0.006276057536902983,0.12615744501120893,0.24922836999252737
11,7385,3696,3689,0.500473933649289,-3.314008526016127e-05,3.0427599049254184e-06,0.0020391040694152165,0.2995260663507109,0.5293161814488828
12,33887,17151,16736,0.5061232921179213,-0.00015490261172763873,4.402390204383266e-05,0.007678451343964807,0.13028595036444654,0.2504205152418332
13,18359,9999,8360,0.5446375074895147,0.0004887463771418237,0.00031034559198417355,0.006350858598141455,0.14766599487989543,0.2868347949234708
14,6710,3461,3249,0.5157973174366617,3.4508966845796575e-05,0.0001978005286367157,0.008289372854095943,0.07391952309985098,0.14545454545454545
15,19616,10073,9543,0.5135093800978793,0.00019668420720744288,0.00020399177112828681,0.01042435710947822,0.07167618270799347,0.1442190048939641
16,25811,12552,13259,0.48630428886908683,-4.229588217456455e-05,-0.00011735987231231704,0.006732184047445533,0.1293634496919918,0.24853744527527025
17,1,0,1,0.0,-0.0025048213531742025,-0.0025048213531742025,0.0,0.0,0.0
18,3401,1607,1794,0.47250808585710086,-0.000853733386890392,-0.00018816864862714056,0.005953131383593944,0.14554542781534843,0.29461922963834164
19,21851,11357,10494,0.5197473799826094,0.00023311553480071564,0.00013901936581883767,0.005519535158188523,0.13262550913001694,0.26058303967781793
20,2971,1511,1460,0.5085829686974083,6.423556834782221e-05,5.208765387565428e-05,0.005180936359594547,0.11679569168630091,0.2245035341635813
21,3922,1931,1991,0.49235084140744517,-0.00042104857607012453,-7.730968460684107e-05,0.005819515718406122,0.09790922998470168,0.204742478327384
22,14849,7559,7290,0.5090578490134016,-1.4268157360948587e-05,0.00012401097837844155,0.014837775609669012,0.0802747659775069,0.1587985722944306
23,18389,9486,8903,0.5158518679645441,0.0001364854803807347,0.0001173433466321594,0.006575165114809234,0.12643428136385884,0.24764805046495186
24,44633,23165,21468,0.5190105975399368,0.00020864558646384974,0.0001300189961577214,0.005166376610133253,0.14652835346044407,0.28091322564022136
25,6117,3250,2867,0.5313061958476377,0.0004019262608085664,0.00033409244540605343,0.0072273326213571285,0.0922020598332516,0.17704757233938204
26,947,499,448,0.5269271383315733,0.000468064973733555,0.00035700383365244726,0.007812081890431074,0.07074973600844774,0.13621964097148892
27,13820,7263,6557,0.5255426917510854,0.0006438713103863842,0.0005460021495797829,0.013336241729189773,0.047322720694645444,0.08849493487698987
28,6575,3474,3101,0.5283650190114069,0.00021162678152216463,0.0005162357148533747,0.010828050475087348,0.052927756653992394,0.10098859315589354
29,12929,6691,6238,0.5175187562843221,0.00014265002514429328,0.0002209522605232106,0.007474872145317791,0.07432902776703534,0.14525485343027303
30,1422,682,740,0.47960618846694797,-0.0007876347062873991,-0.0004951967423277859,0.009603716277336423,0.04571026722925457,0.08790436005625879
31,31586,16134,15452,0.5107959222440321,1.4164972507200941e-05,0.00017319203327781363,0.010436514410099683,0.06271765972266194,0.1235990628759577
32,13529,6912,6617,0.5109025057284352,-4.987452666219014e-05,0.00013975392276388554,0.007177771708773646,0.08404168822529381,0.16963559760514452
33,155839,77896,77943,0.4998492033444773,-8.90248410620392e-06,-9.155476002886687e-07,0.0067010727496589545,0.12019455977001905,0.23203434313618543
34,346284,174918,171366,0.5051287382610805,3.9782639291090415e-05,3.3117660171999574e-05,0.00491965253915333,0.1488027168451329,0.2855661826708713
