continuity_segment_id,sample_count,feature_complete_count,feature_complete_ratio,mean_feature_missing_count,final_feature_candidate_count
0,18504,18455,0.9973519239083442,0.03415477734543882,18420
1,4071,4047,0.9941046425939573,0.1100466715794645,4011
2,28,4,0.14285714285714285,16.0,0
3,4770,4746,0.9949685534591195,0.0939203354297694,4710
4,10024,10000,0.9976057462090981,0.044293695131683956,9964
5,240,216,0.9,1.7291666666666667,180
6,261,237,0.9080459770114943,1.5900383141762453,202
7,38849,38825,0.9993822234806559,0.0106823856469922,38789
8,300,276,0.92,1.3833333333333333,240
9,1843,1819,0.9869777536625067,0.22517634291915356,1784
10,30792,30768,0.9992205767731879,0.013477526630293583,30732
11,7398,7374,0.9967558799675588,0.05609624222762909,7338
12,33900,33876,0.9992920353982301,0.01224188790560472,33840
13,18372,18348,0.9986936642717178,0.0225887219682125,18312
14,6722,6686,0.9946444510562332,0.07691163344242785,6663
15,19629,19605,0.998777319272505,0.02114218757960161,19569
16,25824,25800,0.9990706319702602,0.016070322180916977,25764
17,14,0,0.0,26.214285714285715,0
18,3414,3390,0.9929701230228472,0.13093145869947276,3353
19,21864,21840,0.9989023051591658,0.01898097328942554,21804
20,2983,2959,0.9919544083137781,0.1391216895742541,2924
21,3934,3910,0.9938993390950687,0.10549059481443823,3875
22,14862,14838,0.9983851433185305,0.027923563450410444,14802
23,18402,18378,0.9986957939354418,0.022551896532985546,18342
24,44646,44622,0.9994624378443757,0.00929534560766922,44586
25,6129,6105,0.996084189916789,0.06771088268885626,6070
26,960,936,0.975,0.4322916666666667,900
27,13832,13794,0.9972527472527473,0.03802776171197224,13771
28,6588,6564,0.9963570127504554,0.0629933211900425,6528
29,12942,12918,0.9981455725544738,0.0320661412455571,12882
30,1434,1410,0.9832635983263598,0.2894002789400279,1375
31,31599,31575,0.9992404822937435,0.013133327004019115,31539
32,13542,13518,0.998227735932654,0.030645399497858515,13482
33,155852,155816,0.9997690116264148,0.0033108333547211457,155792
34,346296,346272,0.9999306951278675,0.0011983967472913345,346237
