subset,sample_count,up_count,down_count,up_ratio,equal_price_count,mean_future_return,median_future_return,return_std,boundary_risk_1bps_ratio,boundary_risk_2_5bps_ratio,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio,start_decision_time,end_decision_time,maximum_settlement_time
ALL_DATASET,918780,466979,451801,0.5082598663445003,224,6.359504056534895e-05,6.483647502675272e-05,0.007555915021894118,0.025217135766995365,0.06260040488473846,0.12351596682557305,0.23835194497050435,1506830400000,1783551600000,1783555200000
DEVELOPMENT,759227,386905,372322,0.5096038470707707,199,8.094802625360215e-05,7.89886810632634e-05,0.008011896183335854,0.024274689914873943,0.060427250348051374,0.11920018650548518,0.2299417697210452,1506830400000,1735685700000,1735689300000
FINAL_TEST,159541,80064,79477,0.5018396525031183,25,-1.916305788345787e-05,1.2589111677341336e-05,0.004827646218443285,0.029703963244557825,0.07294676603506309,0.1440507455763722,0.27836731623845906,1735689600000,1783551600000,1783555200000
PURGED_BEFORE_FINAL_TEST,12,10,2,0.8333333333333334,0,0.002434804997704876,0.002009587358335785,0.0022960358445316496,0.0,0.0,0.16666666666666666,0.3333333333333333,1735686000000,1735689300000,1735692900000
fold_2020_TRAIN,234419,120168,114251,0.5126205640327789,135,7.783104254260634e-05,0.0001159738686802303,0.009847655821027214,0.022357402770253266,0.05496568110946638,0.10803305192838464,0.20934736518797536,1506830400000,1577832900000,1577836500000
fold_2020_VALIDATION,104663,54183,50480,0.5176901101630949,18,0.00018868110447858703,0.00014223746914243662,0.0077519278644073404,0.024812971155040463,0.06231428489533073,0.12321450751459447,0.23913895072757327,1577836800000,1609455300000,1609458900000
fold_2020_VALIDATION_DENSE,104663,54183,50480,0.5176901101630949,18,0.00018868110447858703,0.00014223746914243662,0.0077519278644073404,0.024812971155040463,0.06231428489533073,0.12321450751459447,0.23913895072757327,1577836800000,1609455300000,1609458900000
fold_2020_VALIDATION_NONOVERLAP,8721,4520,4201,0.5182891870198372,4,0.00019152538380581908,0.00015002250337547984,0.007962197730861717,0.023965141612200435,0.060658181401215455,0.11592707258341933,0.2264648549478271,1577836800000,1609452000000,1609455600000
fold_2021_TRAIN,339094,174351,164743,0.5141671630875214,153,0.00011197841032859789,0.00012387055768370292,0.009251543437975181,0.023114534612821223,0.05723191799324081,0.11271800739617924,0.21854117147457638,1506830400000,1609455300000,1609458900000
fold_2021_VALIDATION,104549,52981,51568,0.5067575969162785,3,9.340315647619828e-05,9.797731053939884e-05,0.009457004635623295,0.013964743804340549,0.034414485073984445,0.06917330629656908,0.13621364145042036,1609459200000,1640991300000,1640994900000
fold_2021_VALIDATION_DENSE,104549,52981,51568,0.5067575969162785,3,9.340315647619828e-05,9.797731053939884e-05,0.009457004635623295,0.013964743804340549,0.034414485073984445,0.06917330629656908,0.13621364145042036,1609459200000,1640991300000,1640994900000
fold_2021_VALIDATION_NONOVERLAP,8712,4390,4322,0.5039026629935721,0,8.963853565219351e-05,5.132995341250446e-05,0.00920704695283604,0.012052341597796144,0.03076216712580349,0.06496786042240588,0.13360881542699724,1609459200000,1640988000000,1640991600000
fold_2022_TRAIN,443655,227333,216322,0.5124094172273501,156,0.00010748377191123449,0.0001205498375835834,0.009300286644012608,0.02095772616109364,0.05185335452096787,0.10245573700285132,0.19913671659284804,1506830400000,1640991300000,1640994900000
fold_2022_VALIDATION,105108,52484,52624,0.49933401834303764,5,-9.440235412542573e-05,-5.831326142569093e-06,0.0068621102764968266,0.02394679757963238,0.059995433268637974,0.11924877269094646,0.23023937283555962,1640995200000,1672527300000,1672530900000
fold_2022_VALIDATION_DENSE,105108,52484,52624,0.49933401834303764,5,-9.440235412542573e-05,-5.831326142569093e-06,0.0068621102764968266,0.02394679757963238,0.059995433268637974,0.11924877269094646,0.23023937283555962,1640995200000,1672527300000,1672530900000
fold_2022_VALIDATION_NONOVERLAP,8759,4359,4400,0.49765955017696084,0,-9.423974264704379e-05,-2.0750693299653733e-05,0.0068119503870095344,0.02066445941317502,0.05114739125470944,0.10720401872359858,0.21863226395707272,1640995200000,1672524000000,1672527600000
fold_2023_TRAIN,548775,279822,268953,0.5099029656963237,161,6.883172276096511e-05,9.390945042109244e-05,0.008885509070620906,0.021531593093708716,0.05341351191289691,0.1056717233839005,0.20509498428317616,1506830400000,1672527300000,1672530900000
fold_2023_VALIDATION,105032,53266,51766,0.507140680935334,22,0.00011872596412463172,3.758350412108591e-05,0.004460579896617964,0.03810267347094219,0.09528524640109681,0.18660027420214792,0.35043605758245105,1672531200000,1704063300000,1704066900000
fold_2023_VALIDATION_DENSE,105032,53266,51766,0.507140680935334,22,0.00011872596412463172,3.758350412108591e-05,0.004460579896617964,0.03810267347094219,0.09528524640109681,0.18660027420214792,0.35043605758245105,1672531200000,1704063300000,1704066900000
fold_2023_VALIDATION_NONOVERLAP,8753,4494,4259,0.51342396892494,4,0.00011939787650877833,7.531911672198355e-05,0.00454160608102127,0.033702730492402605,0.08899805780875128,0.1741117331200731,0.3387410030846567,1672531200000,1704060000000,1704063600000
fold_2024_TRAIN,653819,333095,320724,0.5094605693624689,183,7.68512227872805e-05,7.87180439976165e-05,0.008334520779246317,0.024193240025144575,0.060138968124205626,0.11867045772606792,0.22844701668198691,1506830400000,1704063300000,1704066900000
fold_2024_VALIDATION,105396,53798,51598,0.5104368287221527,16,0.00010584367187111896,8.090434723717621e-05,0.005610621065200514,0.024782724202057006,0.06222247523625185,0.12249990511973889,0.23923109036396067,1704067200000,1735685700000,1735689300000
fold_2024_VALIDATION_DENSE,105396,53798,51598,0.5104368287221527,16,0.00010584367187111896,8.090434723717621e-05,0.005610621065200514,0.024782724202057006,0.06222247523625185,0.12249990511973889,0.23923109036396067,1704067200000,1735685700000,1735689300000
fold_2024_VALIDATION_NONOVERLAP,8783,4493,4290,0.5115564158032563,1,0.00010612675498586234,9.002826732373848e-05,0.005617375975827648,0.02379596948650803,0.05874985767960834,0.11522258909256518,0.22964818399180234,1704067200000,1735682400000,1735686000000
