feature_name,coefficient_mean,coefficient_std,mean_absolute_coefficient,positive_fold_count,negative_fold_count,sign_consistency_ratio
range_position_120m,-0.17453412472255891,0.028422477125217022,0.17453412472255891,0,5,1.0
semivariance_imbalance_60m,-0.04431618909301056,0.012322153132452496,0.04431618909301056,0,5,1.0
time_sin,-0.04327119473178315,0.010460912110609965,0.04327119473178315,0,5,1.0
normalized_atr_60,0.03993874122768118,0.009828688735493517,0.03993874122768118,5,0,1.0
ema_distance_120,-0.03782807655498105,0.016741946757366614,0.03782807655498105,0,5,1.0
ema_spread_20_60,0.03594486792452078,0.008671377852252408,0.03594486792452078,5,0,1.0
upper_wick_mean_15m,-0.03304748890657158,0.011902646789564826,0.03304748890657158,0,5,1.0
range_position_30m,-0.0293284658708301,0.011560043303855624,0.0293284658708301,0,5,1.0
log_return_120m,-0.029090404288271594,0.004338869301529484,0.029090404288271594,0,5,1.0
log_quote_volume_zscore_60m,-0.028368695055786253,0.007481255977352122,0.028368695055786253,0,5,1.0
realized_volatility_60m,-0.028319540906855095,0.017944968000240404,0.028319540906855095,0,5,1.0
range_position_60m,0.02710201039738001,0.008169594213667272,0.02710201039738001,5,0,1.0
log_return_60m,0.026044037736598975,0.00447299136505182,0.026044037736598975,5,0,1.0
ema_distance_60,0.025379388001084822,0.006126952889974796,0.025379388001084822,5,0,1.0
realized_volatility_15m,0.02158874671926487,0.011793012194924967,0.02158874671926487,5,0,1.0
realized_volatility_120m,-0.019146608139524398,0.013109476624597155,0.020076374036278915,1,4,0.8
log_avg_trade_quote_size_zscore_60m,0.01834042267554937,0.005077505899287252,0.01834042267554937,5,0,1.0
volatility_ratio_15_120,-0.016748817088667843,0.0028701381996299757,0.016748817088667843,0,5,1.0
support_distance_60m,0.0165750906329925,0.009530747610772272,0.0165750906329925,5,0,1.0
buy_pressure_std_15m,0.016404551181904613,0.004441087971847761,0.016404551181904613,5,0,1.0
up_candle_ratio_15m,-0.014965788372146599,0.006647953406416055,0.014965788372146599,0,5,1.0
log_return_15m,0.0147606508500195,0.003108116019696418,0.0147606508500195,5,0,1.0
ema_spread_5_20,-0.01446059782218535,0.0034189647966432475,0.01446059782218535,0,5,1.0
ema_distance_20,-0.014400073646156555,0.0034371500534621166,0.014400073646156555,0,5,1.0
log_return_30m,0.013748535057214916,0.005806322870072437,0.013748535057214916,5,0,1.0
lower_wick_ratio,0.012346223095738813,0.009588926727302662,0.01354342256893185,4,1,0.8
log_trade_count_zscore_60m,0.013415325138341126,0.008697979029975465,0.013415325138341126,5,0,1.0
weekday_sin,0.009553769106354248,0.009332621461822467,0.011605590981981042,4,1,0.8
normalized_atr_14,0.008888322641065252,0.011178230931325325,0.010893875504864741,4,1,0.8
absolute_body_ratio,0.006705626205244808,0.009895385022587739,0.010440580301649387,4,1,0.8
log_return_10m,-0.009356418356732149,0.002938098582532127,0.009356418356732149,0,5,1.0
is_weekend,0.008465598296111803,0.00655065812681584,0.008465598296111803,5,0,1.0
taker_buy_quote_ratio_1m,0.008389911303892276,0.0009816377301705042,0.008389911303892276,5,0,1.0
normalized_slope_15m,0.008382524066220667,0.004212522286256284,0.008382524066220667,5,0,1.0
taker_buy_quote_ratio_15m,-0.007646995479484263,0.005151306917276855,0.007646995479484263,0,5,1.0
taker_buy_quote_ratio_60m,-0.004211670135651572,0.008492633764262267,0.007395901190457343,1,4,0.8
realized_volatility_30m,0.0034623134349321114,0.005775322653210932,0.005839485149820429,4,1,0.8
normalized_slope_60m,-0.005792249508887339,0.0032011588894884715,0.005792249508887339,0,5,1.0
lower_wick_mean_15m,-0.002016066678127388,0.006637870922730387,0.0057496681235242745,1,4,0.8
vwap_distance_60m,-0.005603874986566115,0.0013259992146033499,0.005603874986566115,0,5,1.0
close_location,0.005585317878659148,0.0003955624917834318,0.005585317878659148,5,0,1.0
volume_ratio_15_60,0.005171565285449042,0.0013247999396345193,0.005171565285449042,5,0,1.0
weekday_cos,-0.004407662076036731,0.005793111768149614,0.005129587251168576,1,4,0.8
upper_wick_ratio,-0.0014476161480171496,0.007351196374217166,0.005128029162256737,2,3,0.6
resistance_distance_60m,0.004739962340538004,0.003600448270959491,0.004989805208079031,4,1,0.8
volatility_ratio_5_60,-0.0049751160384152735,0.0030928428867537058,0.0049751160384152735,0,5,1.0
time_cos,-0.004150436829561777,0.004232553961438177,0.004305972621277195,1,4,0.8
volume_ratio_5_60,-0.004173560812158179,0.0020731657505724476,0.004173560812158179,0,5,1.0
realized_volatility_5m,0.004078731428685715,0.0033111160617900217,0.004092060726935442,4,1,0.8
signed_body_mean_5m,-0.0036611290362569874,0.00358705218700673,0.0038184741578120955,2,3,0.6
efficiency_ratio_60m,-0.002750501191968983,0.005346750548301873,0.003541604384334765,1,4,0.8
taker_buy_quote_ratio_5m,-0.002751506739782899,0.0028439138602214145,0.0034754640411022546,1,4,0.8
buy_pressure_persistence_15m,-0.0018796604852680282,0.003736332867616638,0.0033558288314458,2,3,0.6
log_return_5m,0.0030803824682736564,0.0018358379631452776,0.0030803824682736564,5,0,1.0
log_return_3m,-0.0024453357260942705,0.00322184558649404,0.0029888185317471358,1,4,0.8
momentum_acceleration_5_30,-0.0024568901640864703,0.0023171119315284843,0.0025537714204523503,1,4,0.8
efficiency_ratio_15m,0.0023377419847876303,0.002483547128401995,0.002499622532293756,4,1,0.8
momentum_acceleration_15_60,0.0024234951411629215,0.0022693563960675483,0.0024234951411629215,5,0,1.0
ema_distance_5,-0.0014727490774732073,0.0017298638106375643,0.001822163351625054,1,4,0.8
log_return_1m,0.0009440717255330628,0.0020423898175215634,0.001641065987039704,3,2,0.6
buy_pressure_change_5_60,-0.0007300642645422983,0.0016100614766586963,0.001423099681804469,2,3,0.6
signed_body_ratio,0.00043781128278951346,0.001558134389458622,0.0012614598428754072,2,3,0.6
is_zero_volume_1m,0.00013112455155889034,0.0006755833582799937,0.0005407163521574242,2,3,0.6
